清洗后名称,标准名称,部位（一级）,部位（二级）,部位,检查方式,特征,性别
CT(胸部)赠送,（胸）CT,胸,,胸,CT,,
衢州-胸部CT,（胸）CT,胸,,胸,CT,,
胸部CT(备孕|孕禁)不出片,（胸）CT,胸,,胸,CT,,
胸部正位DR(不出片),（胸）DR,胸,,胸,DR,正位,
CT胸部平扫,（胸）CT,胸,,胸,CT,,
胸部CT检查(升级),（胸）CT,胸,,胸,CT,,
胸部CT(活动),（胸）CT,胸,,胸,CT,,
胸部CT(不含胶片),（胸）CT,胸,,胸,CT,,
螺旋CT(胸部)(不含片),（胸）CT,胸,,胸,CT,螺旋,
C-16(CT)-不出片(胸部DR升级),（胸）CT,胸,,胸,CT,16排,
胸部平扫CT(不含片),（胸）CT,胸,,胸,CT,,
DR胸部正位(不含片),（胸）DR,胸,,胸,DR,正位,
胸部CT(2019),（胸）CT,胸,,胸,CT,,
胸部CT(低剂量),（胸）CT,胸,,胸,CT,低剂量,
计算机断层扫描(胸部不出片),（胸）CT,胸,,胸,CT,,
胸部正|侧位DR(不出片),（胸）DR,胸,,胸,DR,正位|侧位,
胸部CTHD2(不出片),（胸）CT,胸,,胸,CT,,
胸部CT(季度HD|不出片|怀孕备孕禁忌),（胸）CT,胸,,胸,CT,,
胸部低剂量CT检查(16排),（胸）CT,胸,,胸,CT,低剂量|螺旋|16排,
低剂量胸部CT平扫(不含片),（胸）CT,胸,,胸,CT,低剂量,
胸部正侧位(不出片),（胸）DR,胸,,胸,DR,正位|侧位,
胸部正位DR,（胸）DR,胸,,胸,DR,正位,
CT(飞利浦)(胸部),（胸）CT,胸,,胸,CT,,
低剂量胸部CT扫描(不出片),（胸）CT,胸,,胸,CT,低剂量,
CT检查-胸部(不含片),（胸）CT,胸,,胸,CT,,
胸部正位(DR),（胸）DR,胸,,胸,DR,正位,
DR胸部正位(不出片),（胸）DR,胸,,胸,DR,正位,
CT胸部(团),（胸）CT,胸,,胸,CT,,
胸部CT体层扫描,（胸）CT,胸,,胸,CT,,
DR胸部正位片,（胸）DR,胸,,胸,DR,正位,
CT(胸部),（胸）CT,胸,,胸,CT,,
DR胸部正侧位片(不出片),（胸）DR,胸,,胸,DR,正位|侧位,
DR胸部(正位),（胸）DR,胸,,胸,DR,正位,
开门红团单活胸部CT(不出片|怀孕备孕禁忌),（胸）CT,胸,,胸,CT,,
CT胸部不出片,（胸）CT,胸,,胸,CT,,
胸部正位(不出片),（胸）DR,胸,,胸,DR,正位,
CT胸部,（胸）CT,胸,,胸,CT,,
DR升级CT检查(部位:胸部),（胸）CT,胸,,胸,CT,,
胸片(正位片)A,（胸）DR,胸,,胸,DR,正位,
胸部螺旋CT断层扫描(不出片),（胸）CT,胸,,胸,CT,螺旋,
胸部DR正位片,（胸）DR,胸,,胸,DR,正位,
胸部DR正位(不出片),（胸）DR,胸,,胸,DR,正位,
螺旋CT(胸部),（胸）CT,胸,,胸,CT,螺旋,
CT检查(胸部)(不出片),（胸）CT,胸,,胸,CT,,
CT检查(升级胸部),（胸）CT,胸,,胸,CT,,
CT胸部平扫(不出片),（胸）CT,胸,,胸,CT,,
螺旋CT(胸部)(无片),（胸）CT,胸,,胸,CT,螺旋,
胸部正位DR片(不出片),（胸）DR,胸,,胸,DR,正位,
胸部正位片(放射科),（胸）DR,胸,,胸,DR,正位,
胸部CT不出片),（胸）CT,胸,,胸,CT,,
升级C(胸片升级为CT),（胸）CT,胸,,胸,CT,,
低剂量螺旋CT(胸部),（胸）CT,胸,,胸,CT,低剂量|螺旋,
胸部16排低剂量螺旋CT,（胸）CT,胸,,胸,CT,低剂量|螺旋|16排,
胸部螺旋CT平扫,（胸）CT,胸,,胸,CT,螺旋,
CT胸部检查,（胸）CT,胸,,胸,CT,,
胸部CT(体验),（胸）CT,胸,,胸,CT,,
胸部正位片DR(不出片),（胸）DR,胸,,胸,DR,正位,
螺旋CT断层扫描(胸部)(不出片),（胸）CT,胸,,胸,CT,螺旋,
DR胸部正位检查(不出片),（胸）DR,胸,,胸,DR,正位,
胸部CT平扫(不出片),（胸）CT,胸,,胸,CT,,
螺旋CT(胸部肺)(不含片),（胸|肺）CT,,肺,胸|肺,CT,螺旋,
胸部正位DR(不出片)(赣州),（胸）DR,胸,,胸,DR,正位,
胸肺CT(不出片),（胸|肺）CT,胸,肺,胸|肺,CT,,
C-16(胸部低剂量扫描)-不出片,（胸）CT,胸,,胸,CT,低剂量|16排,
DR-胸部-正位,（胸）DR,胸,,胸,DR,正位,
胸部DR(不出片),（胸）DR,胸,,胸,DR,,
CT胸部(不含片),（胸）CT,胸,,胸,CT,,
胸部正位检查(不出片)本地,（胸）DR,胸,,胸,DR,正位,
CT检查(胸部)(无胶片),（胸）CT,胸,,胸,CT,,
胸部CT(不出片)本地,（胸）CT,胸,,胸,CT,,
胸部(CT),（胸）CT,胸,,胸,CT,,
胸部平扫(CT)(不含片)(赠送),（胸）CT,胸,,胸,CT,,
胸部CT(16排),（胸）CT,胸,,胸,CT,16排,
胸部正位DR检测,（胸）DR,胸,,胸,DR,正位,
DR-胸部正位,（胸）DR,胸,,胸,DR,正位,
慈铭-螺旋CT(胸部),（胸）CT,胸,,胸,CT,螺旋,
胸部正位片(不含片),（胸）DR,胸,,胸,DR,正位,
CT检查(胸肺),（胸|肺）CT,胸,肺,胸|肺,CT,,
DR胸部正位,（胸）DR,胸,,胸,DR,正位,
胸部DR正位(不含片),（胸）DR,胸,,胸,DR,正位,
CT检查(胸部)-不出片,（胸）CT,胸,,胸,CT,,
CT(胸肺)(Z),（胸|肺）CT,胸,肺,胸|肺,CT,,
胸部DR升级胸部CT,（胸）CT,胸,,胸,CT,,
DDR胸部正位片(不出片),（胸）DDR,胸,,胸,DDR,正位,
胸部螺旋CT断层扫描(CT卡)(不出片),（胸）CT,胸,,胸,CT,螺旋,
CT-胸部平扫(低剂量),（胸）CT,胸,,胸,CT,低剂量,
DR升级胸部CT(不含胶片),（胸）CT,胸,,胸,CT,,
胸部正位片检查DR(不含出片),（胸）DR,胸,,胸,DR,正位,
胸部CT(DR升级)(不含出片),（胸）CT,胸,,胸,CT,,
胸部DR正位检查(图文),（胸）DR,胸,,胸,DR,正位,
CT检查(胸部)0,（胸）CT,胸,,胸,CT,,
低剂量胸部CT(不出片),（胸）CT,胸,,胸,CT,低剂量,
胸部正位DR(不出片)0,（胸）DR,胸,,胸,DR,正位,
胸片(正|侧位片),（胸）DR,胸,,胸,DR,正位|侧位,
胸部DR正位检查(图文报告),（胸）DR,胸,,胸,DR,正位,
胸部CT不出片,（胸）CT,胸,,胸,CT,,
胸部CT(团单),（胸）CT,胸,,胸,CT,,
胸部正位DR片(不含片),（胸）DR,胸,,胸,DR,正位,
胸部CT不出片(16),（胸）CT,胸,,胸,CT,16排,
胸透(DR),（胸）DR,胸,,胸,DR,,
DR胸部检查1,（胸）DR,胸,,胸,DR,,
胸部正位片DR,（胸）DR,胸,,胸,DR,正位,
优惠胸部CT(不出片),（胸）CT,胸,,胸,CT,,
慈铭-胸部正位DR,（胸）DR,胸,,胸,DR,正位,
胸部CT(不出片|怀孕备孕禁忌),（胸）CT,胸,,胸,CT,,
DDR胸部正侧位片(不出片),（胸）DDR,胸,,胸,DDR,正位|侧位,
胸部正位片(DR),（胸）DR,胸,,胸,DR,正位,
胸部正位DR检查,（胸）DR,胸,,胸,DR,正位,
DR胸部正位片(出片),（胸）DR,胸,,胸,DR,正位,
CT检查胸部平扫,（胸）CT,胸,,胸,CT,,
低剂量螺旋CT-胸部,（胸）CT,胸,,胸,CT,低剂量|螺旋,
优惠胸部CT80(不出片),（胸）CT,胸,,胸,CT,,
CT检查胸部(不含片),（胸）CT,胸,,胸,CT,,
DR免费升级为胸部CT(不出片),（胸）CT,胸,,胸,CT,,
胸部DR正侧位检查,（胸）DR,胸,,胸,DR,正位|侧位,
胸部CT检查(不出片),（胸）CT,胸,,胸,CT,,
胸部正位检查(不出片),（胸）DR,胸,,胸,DR,正位,
胸部正位(DR)-不含片,（胸）DR,胸,,胸,DR,正位,
胸部CT(64排),（胸）CT,胸,,胸,CT,64排,
CT胸部检查(不含片),（胸）CT,胸,,胸,CT,,
胸部-CT,（胸）CT,胸,,胸,CT,,
胸部螺旋CT断层扫描(DR胸部正侧位升级),（胸）CT,胸,,胸,CT,螺旋,
胸肺CT(不含片),（胸|肺）CT,胸,肺,胸|肺,CT,,
CT(胸部平扫)(赠送)(不含片),（胸）CT,胸,,胸,CT,,
CT扫描(胸部),（胸）CT,胸,,胸,CT,,
胸部CT平扫(不含片),（胸）CT,胸,,胸,CT,,
CT(胸部平扫)(不含片),（胸）CT,胸,,胸,CT,,
胸部正侧位DR,（胸）DR,胸,,胸,DR,正位|侧位,
CT检查(胸部)(2T),（胸）CT,胸,,胸,CT,,
CT胸部(四楼CT/MRI室),（胸）CT,胸,,胸,CT,,
胸部正侧位片,（胸）DR,胸,,胸,DR,正位|侧位,
CT胸部(不出片),（胸）CT,胸,,胸,CT,,
CT胸部平扫(赠送),（胸）CT,胸,,胸,CT,,
胸部CT(季度活动|不出片|怀孕备孕禁忌),（胸）CT,胸,,胸,CT,,
胸部DR正位(外检),（胸）DR,胸,,胸,DR,正位,
CT(胸肺)-不出片,（胸|肺）CT,胸,肺,胸|肺,CT,,
胸部正位(DR)外检,（胸）DR,胸,,胸,DR,正位,
CT(胸部)(DR升级),（胸）CT,胸,,胸,CT,,
DR胸部正位片(不含片建议怀备孕人士不做),（胸）DR,胸,,胸,DR,正位,
低剂量螺旋胸部CT,（胸）CT,胸,,胸,CT,低剂量|螺旋,
胸部正位片(入职),（胸）DR,胸,,胸,DR,正位,
螺旋CT断层扫描(胸部),（胸）CT,胸,,胸,CT,螺旋,
低剂量胸部CT扫描(16排),（胸）CT,胸,,胸,CT,低剂量|16排,
胸部(双肺)CT,（胸|肺）CT,胸,肺,胸|肺,CT,,
CT-胸部(团单)(不含片),（胸）CT,胸,,胸,CT,,
胸部CTHD2,（胸）CT,胸,,胸,CT,,
衢州-胸部正位片DR(不含胶片),（胸）DR,胸,,胸,DR,正位,
CT-胸部,（胸）CT,胸,,胸,CT,,
CT胸部(升级),（胸）CT,胸,,胸,CT,,
DR升级胸部CT,（胸）CT,胸,,胸,CT,,
螺旋CT(胸部)(大连),（胸）CT,胸,,胸,CT,螺旋,
胸部正侧位片(不出片),（胸）DR,胸,,胸,DR,正位|侧位,
胸部正位(不含片)(省),（胸）DR,胸,,胸,DR,正位,
胸部正位片(职业病),（胸）DR,胸,,胸,DR,正位,
胸部侧位检查,（胸）DR,胸,,胸,DR,侧位,
DR胸部正位片(不含片),（胸）DR,胸,,胸,DR,正位,
CT胸部(不出片)(赠送),（胸）CT,胸,,胸,CT,,
职业健康检查-高千伏DR胸部正位片(胶片),（胸）DR,胸,,胸,DR,正位,
DR胸部正侧位片,（胸）DR,胸,,胸,DR,正位|侧位,
团检活动胸部CT,（胸）CT,胸,,胸,CT,,
升级CT(胸片升级为CT)(2T),（胸）CT,胸,,胸,CT,,
胸部CT(JH赠送),（胸）CT,胸,,胸,CT,,
DR(胸部正位片),（胸）DR,胸,,胸,DR,正位,
螺旋CT胸部(无片),（胸）CT,胸,,胸,CT,螺旋,
胸部CT出片,（胸）CT,胸,,胸,CT,,
胸片换CT胸部平扫,（胸）CT,胸,,胸,CT,,
胸部CT2(不含片),（胸）CT,胸,,胸,CT,,
胸部侧位片,（胸）DR,胸,,胸,DR,侧位,
胸片(正位片)(不含片)A,（胸）DR,胸,,胸,DR,正位,
CT(胸部平扫)A(不含片),（胸）CT,胸,,胸,CT,,
DDR胸部正位片升级CT(不出片),（胸）CT,胸,,胸,CT,,
DR胸部正位检查(孕者禁),（胸）DR,胸,,胸,DR,正位,
优惠胸部CT100(出片),（胸）CT,胸,,胸,CT,,
螺旋CT(胸部)(赠送),（胸）CT,胸,,胸,CT,螺旋,
胸片(正位片)-不出片,（胸）DR,胸,,胸,DR,正位,
胸CT(64排),（胸）CT,胸,,胸,CT,64排,
胸部正位DR(职业病),（胸）DR,胸,,胸,DR,正位,
CT(胸部)(不出片),（胸）CT,胸,,胸,CT,,
胸部正位片-不出片,（胸）DR,胸,,胸,DR,正位,
胸部正位检查DR,（胸）DR,胸,,胸,DR,正位,
胸部CT(不含出片),（胸）CT,胸,,胸,CT,,
团检CT(胸部平扫)(不含片),（胸）CT,胸,,胸,CT,,
(外)胸部DR正位检查(图文),（胸）DR,胸,,胸,DR,正位,
CT检查(胸),（胸）CT,胸,,胸,CT,,
胸部正位DR(准备怀孕禁忌),（胸）DR,胸,,胸,DR,正位,
胸部CT(准备怀孕禁忌),（胸）CT,胸,,胸,CT,,
CT胸部平扫(DR+30升级赠送),（胸）CT,胸,,胸,CT,,
CT胸部(AY赠送),（胸）CT,胸,,胸,CT,,
DR胸片(正侧位),（胸）DR,胸,,胸,DR,正位|侧位,
胸部正位DR-不出片,（胸）DR,胸,,胸,DR,正位,
胸部CT(赠送)(不出片),（胸）CT,胸,,胸,CT,,
胸部低剂量CT(不出片),（胸）CT,胸,,胸,CT,低剂量,
胸部CT出片(优惠),（胸）CT,胸,,胸,CT,,
(赠)CT扫描(胸部),（胸）CT,胸,,胸,CT,,
胸部正侧位DR检测,（胸）DR,胸,,胸,DR,正位|侧位,
(负一楼)CT检查胸部,（胸）CT,胸,,胸,CT,,
(JZ)DR胸部正位检查(不含片),（胸）DR,胸,,胸,DR,正位,
CT(胸),（胸）CT,胸,,胸,CT,,
胸部正位(DR)检查,（胸）DR,胸,,胸,DR,正位,
胸部平扫(CT)(不含片),（胸）CT,胸,,胸,CT,,
DR胸部正位(无胶片),（胸）DR,胸,,胸,DR,正位,
CT(胸)(升级),（胸）CT,胸,,胸,CT,,
胸部平扫CT,（胸）CT,胸,,胸,CT,,
胸部正侧位DR检查,（胸）DR,胸,,胸,DR,正位|侧位,
VDR胸部正位片(不出片),（胸）DR,胸,,胸,DR,正位,
衢州-胸部CT检测1(不出片),（胸）CT,胸,,胸,CT,,
衢州-胸部CT检测(1),（胸）CT,胸,,胸,CT,,
DDR胸部正位片(孕者禁),（胸）DDR,胸,,胸,DDR,正位,
胸部正侧位DR(不含片),（胸）DR,胸,,胸,DR,正位|侧位,
DR胸部透视,（胸）DR,胸,,胸,DR,,
胸部正位片(出片),（胸）DR,胸,,胸,DR,正位,
优惠胸部CT80(出片),（胸）CT,胸,,胸,CT,,
胸肺CT(出片),（胸|肺）CT,胸,肺,胸|肺,CT,,
CT胸部检查(赠送),（胸）CT,胸,,胸,CT,,
DR胸部正|侧位,（胸）DR,胸,,胸,DR,正位|侧位,
CT-胸部(不出片),（胸）CT,胸,,胸,CT,,
32层螺旋CT扫描胸部(不出片),（胸）CT,胸,,胸,CT,螺旋,
CT(胸部)不含片,（胸）CT,胸,,胸,CT,,
胸部CT(出片自费),（胸）CT,胸,,胸,CT,,
(负一楼)CT胸部(出片),（胸）CT,胸,,胸,CT,,
(负一楼)DR胸部正位片,（胸）DR,胸,,胸,DR,正位,
团检CT胸部(不出片)5,（胸）CT,胸,,胸,CT,,
胸部CT检查(准备怀孕禁忌),（胸）CT,胸,,胸,CT,,
低剂量螺旋CT胸部平扫,（胸）CT,胸,,胸,CT,低剂量|螺旋,
DR胸部正位片(AY),（胸）DR,胸,,胸,DR,正位,
DDR胸部正位片,（胸）DDR,胸,,胸,DDR,正位,
CT胸部出片,（胸）CT,胸,,胸,CT,,
胸部CT检查,（胸）CT,胸,,胸,CT,,
胸透外检,（胸）胸透,胸,,胸,胸透,,
CT胸部(TC),（胸）CT,胸,,胸,CT,,
赠送CT胸部扫描,（胸）CT,胸,,胸,CT,,
胸部正位片(含片),（胸）DR,胸,,胸,DR,正位,
胸部CT-活动(不出片),（胸）CT,胸,,胸,CT,,
胸部正侧位DR(不含出片),（胸）DR,胸,,胸,DR,正位|侧位,
KS胸部DR正位-不含片,（胸）DR,胸,,胸,DR,正位,
胸部侧位片(不出片),（胸）DR,胸,,胸,DR,侧位,
胸透(外检),（胸）胸透,胸,,胸,胸透,,
DR(胸部正位),（胸）DR,胸,,胸,DR,正位,
DR胸部侧位检查,（胸）DR,胸,,胸,DR,侧位,
胸部正侧位DR(不出片),（胸）DR,胸,,胸,DR,正位|侧位,
胸部正位片DR(2楼DR室),（胸）DR,胸,,胸,DR,正位,
DR胸部(正位)检查,（胸）DR,胸,,胸,DR,正位,
DR-胸部正位片,（胸）DR,胸,,胸,DR,正位,
(AM)CT胸部(不出片),（胸）CT,胸,,胸,CT,,
(AM)DR胸部正侧位(不出片),（胸）DR,胸,,胸,DR,正位|侧位,
DR-胸部正位片(不出片),（胸）DR,胸,,胸,DR,正位,
胸部正位(含片),（胸）DR,胸,,胸,DR,正位,
胸部CT(优),（胸）CT,胸,,胸,CT,,
CT胸部(YX),（胸）CT,胸,,胸,CT,,
螺旋CT(胸部)不含片,（胸）CT,胸,,胸,CT,螺旋,
胸部正位检查(建议怀备孕人士不做),（胸）DR,胸,,胸,DR,正位,
胸部DR正侧位检查(图文),（胸）DR,胸,,胸,DR,正位|侧位,
胸部CT(团检单价),（胸）CT,胸,,胸,CT,,
DR胸部正位检查(无胶片),（胸）DR,胸,,胸,DR,正位,
胸部螺旋CT平扫特殊项目,（胸）CT,胸,,胸,CT,螺旋,
CT(胸部)(加项),（胸）CT,胸,,胸,CT,,
DR升级胸部CT(不含片),（胸）CT,胸,,胸,CT,,
(AM)DR胸部正位(不出片),（胸）DR,胸,,胸,DR,正位,
衢州-胸部CT(不出片),（胸）CT,胸,,胸,CT,,
DR胸部正侧位检查,（胸）DR,胸,,胸,DR,正位|侧位,
胸部DR升级CT(不含片),（胸）CT,胸,,胸,CT,,
KS胸部CT,（胸）CT,胸,,胸,CT,,
胸部螺旋CT断层扫描(CT卡),（胸）CT,胸,,胸,CT,螺旋,
DR胸部正位检查(备孕|孕禁),（胸）DR,胸,,胸,DR,正位,
胸部正|侧位(DR),（胸）DR,胸,,胸,DR,正位|侧位,
DR胸部正侧位片(哺乳|备孕|孕者禁),（胸）DR,胸,,胸,DR,正位|侧位,
团检CT胸部(不出片)2,（胸）CT,胸,,胸,CT,,
CT胸部正位(不出片),（胸）CT,胸,,胸,CT,,
胸部螺旋CT断层扫描平扫,（胸）CT,胸,,胸,CT,螺旋,
胸片正侧位A,（胸）DR,胸,,胸,DR,正位|侧位,
CT检查(胸部)(升级1),（胸）CT,胸,,胸,CT,,
胸部DR正位检查(小胶片),（胸）DR,胸,,胸,DR,正位,
(JZ)胸部CT,（胸）CT,胸,,胸,CT,,
胸部正位片DR检查(不出片),（胸）DR,胸,,胸,DR,正位,
胸部DR升级CT肺部(不含片),（肺）CT,胸,肺,肺,CT,,
胸部正位DR(不含片)(7Y),（胸）DR,胸,,胸,DR,正位,
DR(胸部侧位片),（胸）DR,胸,,胸,DR,侧位,
团检CT胸部(不出片)3,（胸）CT,胸,,胸,CT,,
胸部CT(出片),（胸）CT,胸,,胸,CT,,
DR胸部正位出片,（胸）DR,胸,,胸,DR,正位,
CT(胸部)99,（胸）CT,胸,,胸,CT,,
CT检查(胸部)负一楼(不含胶片),（胸）CT,胸,,胸,CT,,
胸部正位DR升级胸部CT,（胸）CT,胸,,胸,CT,,
胸部透视DR,（胸）DR,胸,,胸,DR,,
赠送-胸部CT,（胸）CT,胸,,胸,CT,,
DR胸部正侧位,（胸）DR,胸,,胸,DR,正位|侧位,
胸部CT(送),（胸）CT,胸,,胸,CT,,
DR胸部正位摄片,（胸）DR,胸,,胸,DR,正位,
LF低剂量胸部CT扫描(哺乳|备孕|孕者禁),（胸）CT,胸,,胸,CT,低剂量,
CT(胸部平扫),（胸）CT,胸,,胸,CT,,
(JZ)CR胸部正位检查,（胸）CR,胸,,胸,CR,正位,
DR胸部正|侧位片,（胸）DR,胸,,胸,DR,正位|侧位,
胸部CT16排,（胸）CT,胸,,胸,CT,16排,
CT检查-胸,（胸）CT,胸,,胸,CT,,
CT-胸部(团单),（胸）CT,胸,,胸,CT,,
胸部正位片DR(不出片)备孕勿做,（胸）DR,胸,,胸,DR,正位,
胸部CT不出片((新),（胸）CT,胸,,胸,CT,,
胸部正侧位DR(不含片)(7Y),（胸）DR,胸,,胸,DR,正位|侧位,
胸部(正|侧位片)DR,（胸）DR,胸,,胸,DR,正位|侧位,
胸部侧位片DR(不含片),（胸）DR,胸,,胸,DR,侧位,
丽水-胸部正位检查(不出片),（胸）DR,胸,,胸,DR,正位,
团检CT胸部(不出片),（胸）CT,胸,,胸,CT,,
DR胸部正侧位(不出片),（胸）DR,胸,,胸,DR,正位|侧位,
胸部CT(含片),（胸）CT,胸,,胸,CT,,
DR胸片升级CT胸部平扫(不含片),（胸）CT,胸,,胸,CT,,
DR胸侧位片,（胸）DR,胸,,胸,DR,侧位,
DR胸部侧位片(不出片),（胸）DR,胸,,胸,DR,侧位,
DR胸片后前位(职业健康检查),（胸）DR,胸,,胸,DR,,
DR-胸部正位(不出片),（胸）DR,胸,,胸,DR,正位,
胸片换CT胸部平扫(不含片),（胸）CT,胸,,胸,CT,,
CT-胸部平扫,（胸）CT,胸,,胸,CT,,
赠送胸部CT,（胸）CT,胸,,胸,CT,,
胸部-CT(出片),（胸）CT,胸,,胸,CT,,
32排螺旋CT单次扫描(胸肺不含片),（胸|肺）CT,胸,肺,胸|肺,CT,螺旋|32排,
CT检查(胸部)(DE),（胸）CT,胸,,胸,CT,,
胸片(正位片)(不含片),（胸）DR,胸,,胸,DR,正位,
DR胸片(正位片)(2T),（胸）DR,胸,,胸,DR,正位,
胸部CT(活动|不出片|怀孕备孕禁忌),（胸）CT,胸,,胸,CT,,
(八九联动)胸部CT(不出片|怀孕备孕禁忌),（胸）CT,胸,,胸,CT,,
胸部正位片(不出片)(职),（胸）DR,胸,,胸,DR,正位,
DR胸部正位片(DE),（胸）DR,胸,,胸,DR,正位,
DR-胸部-正侧位,（胸）DR,胸,,胸,DR,正位|侧位,
胸部DR正位检查-无图文,（胸）DR,胸,,胸,DR,正位,
DR(胶片)胸部正位片,（胸）DR,胸,,胸,DR,正位,
胸部正侧位片-不出片,（胸）DR,胸,,胸,DR,正位|侧位,
螺旋胸肺CT平扫,（胸|肺）CT,胸,肺,胸|肺,CT,螺旋,
DR胸部正位片(每部位)(不出片),（胸）DR,胸,,胸,DR,正位,
DR胸部正侧位片(AY),（胸）DR,胸,,胸,DR,正位|侧位,
胸透(健康证),（胸）胸透,胸,,胸,胸透,,
胸部DR正位(出片),（胸）DR,胸,,胸,DR,正位,
胸部CT平扫,（胸）CT,胸,,胸,CT,,
胸片(正位片)(绵阳),（胸）DR,胸,,胸,DR,正位,
K40层螺旋CT胸肺,（胸|肺）CT,胸,肺,胸|肺,CT,螺旋,
CT胸部增项,（胸）CT,胸,,胸,CT,,
团检CT胸部(不出片)4,（胸）CT,胸,,胸,CT,,
胸部正位DR检查(不含片),（胸）DR,胸,,胸,DR,正位,
K-DR胸部正位检查(不含片),（胸）DR,胸,,胸,DR,正位,
团检CT胸部(出片)2,（胸）CT,胸,,胸,CT,,
胸部透视(DR),（胸）DR,胸,,胸,DR,,
胸部DR(正位胶片),（胸）DR,胸,,胸,DR,正位,
DR高千伏胸片(出片),（胸）DR,胸,,胸,DR,,
DR胸部(正位不出片),（胸）DR,胸,,胸,DR,正位,
胸部DR拍片(职业),（胸）DR,胸,,胸,DR,,
MJ胸部正位DR,（胸）DR,胸,,胸,DR,正位,
职业健康-胸部DR正位,（胸）DR,胸,,胸,DR,正位,
胸部正侧位片DR,（胸）DR,胸,,胸,DR,正位|侧位,
胸部CT检查-无图文,（胸）CT,胸,,胸,CT,,
胸部CT(2楼CT室),（胸）CT,胸,,胸,CT,,
DR-胸部正侧位片,（胸）DR,胸,,胸,DR,正位|侧位,
(负一楼)胸部正位检查,（胸）DR,胸,,胸,DR,正位,
DR胸部正位(出片),（胸）DR,胸,,胸,DR,正位,
(胸部)CT,（胸）CT,胸,,胸,CT,,
KS胸部DR正侧位-不含片,（胸）DR,胸,,胸,DR,正位|侧位,
螺旋CT胸部平扫置换胸部正位DR,（胸）CT,胸,,胸,CT,螺旋,
胸部CT检测,（胸）CT,胸,,胸,CT,,
