清洗后名称,item_names,标准化名称,结果类型,是否为总结型指标,chk_item,备注
牙列,口腔检查,牙列,描述型,,,
左室?壁厚度,"心脏彩超-无图文,女性盆腔彩超,肝胆脾胰肾彩超,前列腺超声,心脏彩超,颈动脉彩超,心脏超声检查,颈动脉彩超检查,子宫附件超声,阴式彩超,心脏超声,彩超(心脏),腹部彩超(餐前),心脏彩色多普勒超声,衢州-心脏彩超,心脏彩超-图文报告,颈动脉彩超(双侧)-无图文,双肾彩超,心脏彩超(无图文),心脏彩超+心功能检测(不含片),阴式彩超(子宫|附件),心脏彩超检查,心脏彩色多普勒超声检测,V心脏彩超,心脏彩超-出图文,心脏彩超(有图文),心脏B超检查,OY心脏彩超,彩超-心脏检查,心脏彩超(赠送),心脏(彩超),心脏彩超多普勒超声检测+左心功能六项,彩超心脏,心脏彩超+左心功能(VIP区),心脏彩超-图文,心脏多普勒彩超,心脏彩超+左心室功能,下肢静脉彩超(双侧),心脏检查(彩超),心脏彩超(不含图文),心脏检查彩超,心脏彩超(图文报告),彩超检查-心脏,KS心脏彩超,K心脏彩超,心脏彩超+心功能测定,彩超-心脏彩超,彩超:心脏,丽水-心脏彩超,子宫附件|膀胱(经腹),OY心脏彩超(出图文),心脏检查彩超(赣州),心脏B超,泌尿彩超(双肾),心脏彩色多普勒超声(医保项目),MJ心脏彩超,心脏超声检查(本),心脏彩色多普勒超声(医保),心脏彩超(2T),心脏彩色多普勒超声检测+左心功能六项,超声检查-心脏超声,心脏彩超(出图文),心脏超声检查A,双侧肾上腺彩超,心脏彩超(延期)(VIP区),彩超:心脏(省),2019全腹彩超(女性),颌下腺及淋巴结彩超,心脏超声检查(2T),慈铭-心脏彩超,心脏超声检查(本地),心脏彩超(DE),心脏彩超+心功测定,心脏彩超(升级),心脏彩色多普勒超声检测+彩色图文报告,心脏彩超(图文专供),全腹彩超(女),心脏彩超-有图文,心脏超声检查(外),心脏超声检查0,子宫附件|输尿管|膀胱(经腹),泌尿生殖系B超",心室后壁厚度（左）,数值型,,,
非脂肪量FFMKG,眼科检查(视力),非脂肪量,数值型,,,
胸部正侧位DR,胸部正侧位(DR),胸部正侧位DR,描述型,同chk_item,,
肺?脉干,"心脏彩超-无图文,女性盆腔彩超,肝胆脾胰肾彩超,前列腺超声,心脏彩超,心脏超声检查,颈动脉彩超检查,子宫附件超声,阴式彩超,心脏超声,彩超(心脏),腹部彩超(餐前),心脏彩色多普勒超声,衢州-心脏彩超,心脏彩超-图文报告,颈动脉彩超(双侧)-无图文,双肾彩超,心脏彩超(无图文),阴式彩超(子宫|附件),心脏彩超检查,心脏彩色多普勒超声检测,V心脏彩超,心脏彩超-出图文,心脏B超检查,彩超-心脏检查,心脏彩超(赠送),心脏(彩超),心脏彩超多普勒超声检测+左心功能六项,彩超心脏,心脏彩超+左心功能(VIP区),心脏彩超-图文,心脏多普勒彩超,心脏彩超+左心室功能,下肢静脉彩超(双侧),心脏检查(彩超),心脏彩超(不含图文),心脏检查彩超,心脏彩超(图文报告),彩超检查-心脏,KS心脏彩超,K心脏彩超,心脏彩超+心功能测定,彩超-心脏彩超,彩超:心脏,丽水-心脏彩超,心脏检查彩超(赣州),心脏B超,泌尿彩超(双肾),心脏彩色多普勒超声(医保项目),心脏超声检查(本),心脏彩色多普勒超声(医保),心脏彩色多普勒超声检测+左心功能六项,超声检查-心脏超声,心脏彩超(出图文),心脏超声检查A,双侧肾上腺彩超,心脏彩超(延期)(VIP区),彩超:心脏(省),腹主动脉彩超,颌下腺及淋巴结彩超,心脏超声检查(2T),心脏超声检查(本地),心脏彩超(升级),心脏彩色多普勒超声检测+彩色图文报告,心脏彩超(图文专供),心脏超声检查(外),泌尿生殖系B超",肺动脉干,数值型,,心脏彩超,
盆腔,"子宫附件彩超,泌尿生殖系彩超(女),泌尿系彩超(女),泌尿系彩超(女)(需憋尿),男盆腔彩超,女盆腔彩超,肝胆脾胰肾+子宫附件彩超,肝胆脾胰肾子宫附件彩超",盆腔,描述型,,,
乳腺钼靶,乳腺钼靶,乳腺钼靶,描述型,,,
双侧颈部血管彩超,颈部血管彩超,双侧颈部血管彩超,描述型,同chk_item,,
左室内径舒?期,"心脏彩超-无图文,女性盆腔彩超,肝胆脾胰肾彩超,前列腺超声,心脏彩超,心脏超声检查,颈动脉彩超检查,心脏超声,彩超(心脏),腹部彩超(餐前),心脏彩色多普勒超声,衢州-心脏彩超,心脏彩超-图文报告,颈动脉彩超(双侧)-无图文,双肾彩超,心脏彩超(无图文),心脏彩超+心功能检测(不含片),阴式彩超(子宫|附件),心脏彩超检查,心脏彩色多普勒超声检测,V心脏彩超,心脏彩超-出图文,心脏彩超(有图文),心脏B超检查,OY心脏彩超,彩超-心脏检查,心脏彩超(赠送),心脏(彩超),心脏彩超多普勒超声检测+左心功能六项,彩超心脏,心脏彩超+左心功能(VIP区),心脏彩超-图文,心脏多普勒彩超,心脏彩超+左心室功能,心脏检查(彩超),心脏彩超(不含图文),心脏检查彩超,心脏彩超(图文报告),彩超检查-心脏,KS心脏彩超,K心脏彩超,心脏彩超+心功能测定,彩超-心脏彩超,彩超:心脏,丽水-心脏彩超,OY心脏彩超(出图文),心脏检查彩超(赣州),心脏B超,泌尿彩超(双肾),心脏彩色多普勒超声(医保项目),MJ心脏彩超,心脏超声检查(本),心脏彩色多普勒超声(医保),心脏彩超(2T),心脏彩色多普勒超声检测+左心功能六项,超声检查-心脏超声,心脏彩超(出图文),心脏超声检查A,双侧肾上腺彩超,心脏彩超(延期)(VIP区),彩超:心脏(省),心脏超声检查(2T),慈铭-心脏彩超,心脏超声检查(本地),心脏彩超(DE),心脏彩超+心功测定,心脏彩超(升级),心脏彩色多普勒超声检测+彩色图文报告,心脏彩超-有图文,心脏超声检查(外),心脏超声检查0",心室内径舒张期（左）,数值型,,,
心脏检查,内科检查,心脏检查,描述型,,,
矫正视?左,"耳鼻喉检查,眼底检查,眼科检查,眼科检查(辨色力),眼科检查(外眼),耳鼻喉科检查,眼科检查(外眼|眼底),眼科检查(眼压),裂隙灯检查,外眼检查,眼科检查(裂隙灯),眼底,眼科检查(眼底),眼科检查(视力),外眼及视力+裂隙灯检查,眼科检查(1),裂隙灯,眼科检查(外眼|眼底|眼压),眼科检查(外眼|辨色力),眼科检查(眼底|眼压|裂隙灯),眼科检查(外眼|眼底|裂隙灯),外眼及视力+眼底检查,眼底照相,外眼及视力+眼底检查+裂隙灯检查,眼科检查(2),眼科检查(3),眼底照相机,眼科检查(眼底|眼压),眼科+裂隙灯,眼科+眼底,眼科检查(4),五官科(入职)",矫正视力（左）,描述型,,,
颈椎痛,"外科检查(男),外科,外科检查(女)",颈椎痛,描述型,,,
眼底照相,眼底照相,眼底照相,描述型,,,
共济运动,"内科检查,(JZ)神经内科",共济运动,描述型,,神经系统常规检查,
他检查,"外科检查,外科,外科检查(含肛检)",其他检查,描述型,,,
暗视野,"眼科检查(外眼),眼科检查(外眼|眼底),眼科检查(眼压),眼科检查(外眼|辨色力),眼科检查(眼底|眼压|裂隙灯),眼科检查(外眼|眼底|裂隙灯),眼底照相,眼底照相机",暗视野,描述型,,,
手术史,"内科检查,外科检查,外科检查(男),耳鼻喉科检查,内科,外科,内科检查(女),外科检查(女)",手术史,描述型,,,
肺?听诊,"内科检查,内科",肺部听诊,描述型,,,
左室内径张期,心脏超声检查,心室内径舒张期（左）,描述型,,,
运动机能,内科,运动机能,描述型,,,
粘膜,口腔检查,粘膜,描述型,,口腔检查,
耳部,耳鼻喉科检查,耳,描述型,,,
?齿,"口腔检查,口腔检查(2),口腔检查(1)",龋齿,描述型,,,
ABO血型检查,"血型(BG),血型(A|B|AB|O),ABO血型+RH血型检查,ABO血型检查,ABO血型+RH血型,血型,ABO血型,血型(ABO),血型鉴定(ABO血型+RHD血型),血型检测,RH血型,血型(ABO+RH),ABO血型测定+RH,血型鉴定(ABO+RHD),血型(A/B/AB/O/RHD),血型RH,ABO血型RH因子,ABO和RHD血型(固相法),血型(ABO+RH)(2019),ABO+RH血型",ABO血型检测,描述型,,,
矫正视力?,"耳鼻喉检查,眼底检查,眼科检查,眼科检查(辨色力),眼科检查(外眼),耳鼻喉科检查,眼科检查(外眼|眼底),眼科检查(眼压),裂隙灯检查,外眼检查,眼科检查(裂隙灯),眼底,眼科检查(眼底),眼科检查(视力),外眼及视力+裂隙灯检查,眼科检查(1),裂隙灯,眼科检查(外眼|眼底|眼压),眼科检查(外眼|辨色力),眼科检查(眼底|眼压|裂隙灯),眼科检查(外眼|眼底|裂隙灯),外眼及视力+眼底检查,眼底照相,外眼及视力+眼底检查+裂隙灯检查,眼科检查(2),眼科检查(3),眼底照相机,眼科检查(眼底|眼压),眼科+裂隙灯,眼科+眼底,眼科检查(4),五官科(入职)",矫正视力（右）,描述型,,,
?膜,"耳鼻喉检查,耳鼻喉检查(1),耳鼻喉科一般检查,耳鼻喉科检查,外眼检查,耳鼻喉内窥镜检测,耳鼻喉科,耳鼻咽喉科,耳鼻咽喉检查,衢州-耳鼻咽喉检查,耳鼻喉科常规检查,耳鼻喉检查(常规),耳鼻喉(职业病检查),耳鼻喉,耳鼻喉科常规检测,耳鼻喉(外耳外鼻|鼻窦和咽部),听力检测,耳鼻喉科检查(含一次性器械),音叉检查,V耳鼻喉科,耳鼻喉检查(赣州),耳鼻喉检查(2),耳鼻喉(省),耳鼻喉+(喉镜),内窥镜耳鼻咽喉检查,2019耳鼻喉,职业健康体检项目:耳科常规检查,耳鼻喉常规检查,耳|鼻|喉科,耳鼻喉科检查(餐前),耳科常规,K耳鼻喉检查,OY耳鼻喉检查,(一楼)耳鼻喉科检查,KS耳鼻喉科检查,(JZ)耳鼻喉科检查,耳科检查,2018耳鼻喉科,耳鼻咽喉内窥镜检查,耳鼻喉检查A,耳|鼻|喉,耳鼻喉检查(职业病),耳科常规(职业健康检查),纯音听阈测试,鼻内镜检查(医保),硬性鼻咽镜检查(医保),硬性耳内镜检查(医保),(外)耳鼻喉检查,耳鼻喉检查(1)(绵阳),耳鼻喉检查(A区309),耳鼻喉检查(平安),K-(职业)耳科常规检查,耳鼻喉科(入职),音叉测听,MJ耳鼻喉科检查,K-(职业)耳鼻喉常规检查,耳科(职),间接鼻咽镜检查,职业健康体检项目:耳鼻喉常规检查,耳鼻喉科(入职)(BN),耳鼻喉(延期),(306)耳鼻喉科常规检查,耳鼻喉检查(空腹),听力(128HZ音叉),耳鼻喉科(职),耳鼻喉检查N,耳鼻喉科内窥镜检查,耳科(职业病),(职业病)耳科,五官科(入职),耳鼻喉常规检查(赠送),耳鼻喉科(打包),耳鼻喉检查(赠送),耳鼻喉检查(常规+电耳镜),耳鼻喉检查(三),五官科(入职)(BN),耳鼻喉(职业健康检查),耳科检查(精细),丽水-耳鼻喉检查,耳鼻喉检查1,慈铭-耳鼻喉科检查,耳鼻咽喉科(团),职业健康检查-耳鼻喉,耳鼻喉科(AY),耳鼻喉科常规检查(大连),耳|鼻|喉科-A16室,职业健康-耳鼻喉,耳鼻喉常规(职业病),耳鼻喉1,耳鼻喉科检查(M),耳鼻常规检查,耳科常规(职业),(科室04)耳鼻喉检查,职业健康检查(耳科常规),耳鼻喉检查(013科室),MZ耳鼻喉科检查,耳鼻咽喉科(7Y),(JZ)耳科检查,电耳镜检查,耳鼻喉(外耳外鼻|鼻窦和咽部)(赠送),耳鼻咽常规检查,耳内镜,耳鼻喉基础(外检项目,含鼻钳),耳鼻喉检查2楼,耳鼻喉(赠送)",无,未确定,,,
肝质地,"内科检查,内科",肝脏质地,描述型,,,
眼前节,眼科检查,眼前节,描述型,,,
腰腹部断层扫描,"TTM腹部(上),TTM腹部(下)",腰腹部断层扫描,描述型,同chk_item,,
左附?,"输尿管|膀胱|子宫附件彩超,阴式彩超+双肾-无图文,腹部彩超,甲状腺彩超,女性盆腔彩超,盆腔彩超女(子宫附件)(需憋尿),泌尿生殖系彩超图文-需憋尿,阴式彩超-无图文,子宫附件彩超,女性彩超,肝胆脾胰肾彩超,前列腺超声,阴道彩超,前列腺彩超,泌尿生殖系彩超(子宫|附件),泌尿生殖系彩超(女)双肾|膀胱|子宫附件,泌尿生殖系彩超-无图文,阴道B超(彩色),阴式彩超(子宫|附件|双肾),子宫附件(阴式)超声,子宫(阴式)彩超,盆腔彩超,泌尿生殖系彩超(女),子宫附件超声,妇科彩超,妇科彩超子宫附件(腔内),阴式彩超,泌尿系统彩超,子宫双附件彩超(憋尿),子宫附件彩超(经阴式),子宫及附件彩超,阴超,子宫附件彩超(腔内),盆腔彩超(女),泌尿彩超(女),彩超(阴超),女性盆腔彩超(子宫|附件),衢州-子宫附件彩超(腹部),阴式彩超(限已婚),彩超(子宫及双侧附件经腹),子宫附件B超,盆腔彩超(子宫|附件),膀胱子宫附件输尿管超声,子宫附件阴式彩超,泌尿系彩超,超声检查(子宫|附件),颈动脉彩超(双侧)-无图文,泌尿系彩超(女),子宫附件彩超(女),彩超(子宫附件),子宫附件超声(需喝水憋尿),泌尿彩超,泌尿生殖系统彩超(女),经阴道盆腔彩超,双肾彩超,阴道彩超+图文报告,彩超阴道,泌尿生殖女性盆腔彩超(子宫卵巢附件),泌尿系生殖系彩超(女),子宫及附件彩超(需憋尿),阴道(彩超),阴式彩超(不含片),子宫附件超声-需憋尿,阴式彩超(未婚女禁),泌尿生殖系彩超-女,泌尿生殖系彩超(女)(不含片),阴式彩超(子宫|附件),阴式彩超+双肾(出图文),阴式彩超+双肾(先做妇科检查),彩超(阴式子宫附件)(已婚女),(JZ)彩超(子宫及附件),彩超(阴式子宫附件)(女已婚),泌尿生殖系彩超(女需憋尿),彩超:子宫附件,妇科彩超(需憋尿),彩超(阴式子宫附件)女,泌尿系彩超(女)(需憋尿),V阴道彩超(腔内),子宫双附件彩超,子宫|附件彩超,阴式彩超(已婚),泌尿生殖系彩超(需憋尿),女泌尿彩超(不出片),泌尿生殖系彩超女(无图文),子宫附件超声(腹式),女泌尿生殖系彩超,盆腔彩超(或阴式彩超),子宫及附件彩超(不含出片),妇科彩超(阴道),泌尿生殖系彩超(膀胱|子宫|附件),女性盆腔彩超(憋尿),彩超(阴式子宫附件)(女),子宫及附件(彩超),阴式彩超(无性生活|孕期|月经期禁查),妇科彩超(新),下腹部超声(B),子宫附件彩超(经腹式),妇科彩超(子宫|附件),彩超盆腔(子宫附件B超),子宫附件彩超(女)-无图文,阴式彩超(子宫附件)-图文,盆腔彩超-无图文,泌尿生殖系彩超,下腹部超声(女),泌尿生殖系彩超(女)-无图文,泌尿生殖系彩超女性,盆腔彩超(女性),阴部B超,妇科彩超子宫附件(经腹),腔内彩色多普勒超声(医保),女性盆腔彩超(环/孕),下腹彩超(女),彩超检查-子宫双附件,泌尿生殖彩超(双肾膀胱子宫附件),子宫附件彩超(无图文),下腹部超声(子宫附件)无图,阴式彩超＋双肾,(外)妇科超声,生殖系(含子宫附件)彩超-无图,泌尿生殖系彩超(男)-无图文,泌尿生殖系彩超(女)(无图文),子宫附件(经腹)(2T),子宫附件超声(需憋尿),生殖系彩超(女),女性彩超(膀胱\输尿管\子宫\附件),子宫附件|膀胱(彩超),彩超(子宫及双侧附件经腹)女,泌尿生殖系彩超2(女),彩超:子宫|附件,K妇科彩超(子宫|附件),女性盆腔彩超(需憋尿),彩超子宫双附件,(二楼)泌尿生殖系彩超(女),OY泌尿生殖系彩超,(外)阴式彩超,彩超(子宫附件)(女已婚),盆腔彩超(子宫|附件)需憋尿,彩超:子宫及附件,阴道超声,子宫|附件及输尿管|膀胱彩超(女性),阴式彩超(子宫附件),OY阴式彩超+双肾,泌尿系统彩超(女),子宫|双附件彩超(包括输卵管),阴式彩超(子宫|附件)-无图文,阴道彩超(已婚项目),子宫|附件彩超<经腹>,彩超(阴式子宫附件)(已婚女)2,彩超(子宫及双侧附件经腹)(女),女性盆腔彩超(女性),泌尿生殖彩超(女)无图文,子宫及双侧附件彩色多普勒经腹(女),彩超-子宫附件超声,妇科超声,彩超(子宫附件)-无图文,子宫附件(彩超),阴式彩超(无图文),阴式彩超(子宫|附件)无图文,泌尿生殖系彩超女-无图文,超声女(膀胱子宫附件输尿管),阴道彩超检查,子宫及附件超声,彩超(阴式子宫附件)女(含图文报告),(330|331)女性盆腔彩超(需憋尿),女性彩超(不含图文),阴式彩超|双肾,经阴道盆腔彩超(环/孕),超声(膀胱子宫附件输尿管)A,阴式彩超+双肾,女性彩超(膀胱\输尿管\子宫\附件)(不含出,彩超(阴式),彩超(阴式子宫附件或经腹)(已婚女),阴式彩超(不含出片),子宫附件(腹式)超声,女性下腹部彩超,泌尿系彩超(女)(无图文),阴式彩超(已婚项目),女性彩超(膀胱|子宫|附件),V超声检查(子宫|附件)(经腹),阴道腔内彩超,盆腔彩超(阴式),女盆腔彩超,输尿管|膀胱|子宫附件超声,泌尿生殖彩超(女),2019彩超:子宫附件(双侧),阴式彩超(不出片)(已婚项目),妇科彩超不出图,盆腔彩超(子宫附件),子宫附件彩超(需憋尿),彩超-阴式彩超,阴式彩超-图文,E超(子宫附件),子宫附件彩超(经腹),彩超(经腹子宫附件)(女),阴式彩超(女宾区310),彩超(阴式子宫附件),下肢静脉彩超(双侧),超声(膀胱子宫附件输尿管),子宫及附件彩超(赣州),KS妇科彩超(子宫|附件),女性阴式超声(子宫附件),彩超-子宫|双侧附件,子宫附件超声(女未婚),阴式彩超(已婚项目)(赣州),2019彩超:阴超,超声(膀胱子宫附件),彩超:子宫双附件(阴超)(省),彩超(输尿管|膀胱|子宫及附件)女,彩超:子宫双附件(省),经阴道B超检查(医保项目),子宫附件膀胱彩超(无图文),女性生殖系统彩超(套餐),彩超(子宫及附件),子宫/附件/膀胱彩超(女),子宫附件彩超(子宫/附件),膀胱子宫附件输尿管彩超,子宫附件|膀胱(阴式)彩超,妇科彩超(憋尿),阴超(子宫,附件)彩超,子宫附件|膀胱彩超,阴式超声(绵阳),女性泌尿生殖系彩超,膀胱子宫附件输尿管彩超(绵阳),泌尿生殖彩超(女)出图文,超声检查-子宫双附件超声,女性生殖系彩超(子宫附件),彩超(子宫双侧附件经腹|膀胱|输尿管)女,阴道(彩超)(已婚项目),阴道彩超(女性),子宫双附件超声,(经腹)子宫及附件彩超,泌尿彩超-女(出图),妇科彩超检查(阴式彩超),子宫|附件彩超检查,彩超(经腹子宫及双侧附件)(女),阴超(子宫|附件)彩超,盆腔双肾彩超(无图文),阴道检查(彩超),妇科超声(子宫|附件),彩超-阴式超声,子宫附件彩超(经腹部),生殖系彩超(膀胱子宫附件),KS阴式彩超,彩超(经腹子宫附件)(女)1,阴式超声,丽水-阴道彩超,女性彩超(赠送),子宫附件|膀胱(经腹),子宫|附件彩超(经腹)(2T),经阴道盆腔彩超(含图文),妇科彩超检查(子宫,附件),阴式彩超(子宫|附件)-图文,阴式彩超-出图文,子宫附件+双肾,妇科彩超女,OY阴式彩超(子宫|附件)出图文,子宫|附件超声(专家),子宫|附件彩超(阴式)(2T),妇科彩超(子宫|附件)不用,下腹部超声(2017女),下腹部超声无图(子宫附件),超声检查-阴道超声(限已婚),超声(子宫及附件),膀胱子宫及附件B超,子宫附件膀胱彩超,MJ阴式彩超(子宫|附件),子宫及附件彩超(不出片),K阴式彩超,阴式彩超+双肾(无图文),MJ(子宫附件)彩超,彩超(子宫及双侧附件经腹)女+彩色图文报,泌尿生殖系彩超(女)需憋尿,膀胱子宫附件超声,子宫附件彩超+图文片,彩超(膀胱双侧输尿管),彩超(输尿管.膀胱.子宫及附件)女,阴式彩超(监测卵泡),彩超检查-子宫附件,阴式彩超+双肾-图文,子宫附件(阴式彩超),阴式子宫附件彩色多普勒(已婚女),阴式彩超(图文报告),盆腔彩超(延期),彩超(阴式子宫附件)女+彩色图文报告,OY泌尿彩超(子宫|附件)出图文,彩色多普勒妇科超声(医保),阴式彩超(不含图文)(已婚项目),(JZ)彩超(阴道),女性生殖系统彩超,泌尿生殖系彩超-图文,MJ阴式彩超+双肾,经阴道彩超,输尿管.膀胱.子宫附件彩超,子宫附件双肾彩超(无图文),阴式彩超(子宫|附件|双肾)-图文,泌尿生殖系彩超-女-图文,子宫附件输尿管膀胱超声,经腹子宫及附件彩超,双肾|输尿管|膀胱|子宫附件彩超,彩超(子宫附件|膀胱|输尿管<经腹>),OY阴式彩超(子宫|附件),阴式彩超(子宫|附件)(先做妇科检查),泌尿生殖系彩超(膀胱|子宫|附件|双肾),泌尿生殖系彩超无图文-需憋尿,泌尿生殖系彩超(作废)-无图文,彩超(子宫附件)-有图文,泌尿生殖彩超(女)(无图文),阴式彩超(子宫附件|膀胱),子宫附件彩超(外检),阴式彩超+图文,膀胱子宫附件输尿管超声A,卵泡与内膜彩超(瑞来春),泌尿生殖彩超(女)(出图文),彩超(子宫附件膀胱)-无图文,女性盆腔彩超(含图文),双侧肾上腺彩超,泌尿系(女性)彩超-无图文,女性盆腔彩超(环/孕|憋尿),阴式彩超(出图文),OY阴式彩超(子宫|附件|双肾)出图文,妇科彩超(含图文),女性盆腔彩超-无图文,子宫附件彩超(阴式),子宫附件彩超(含孕环),女泌尿生殖系彩超(膀胱|子宫附件),彩色多普勒妇科超声检查(医保项目),生殖系(含子宫附件)彩超-无图文,经阴道超声,女泌尿生殖系彩超(输尿管膀胱|子宫附件|),泌尿生殖系彩超(肾|膀胱输尿管|子宫附件,泌尿生殖系B超女,彩超(子宫附件或阴式彩超),憋尿彩超K,生殖系彩超(女)-无图文,彩超(阴式子宫附件)(已婚女)(BN),阴式彩超(子宫附件)K,超声女(膀胱子宫附件输尿管)A,下腹部超声(子宫附件)A无图,彩超:全腹彩超(女)(省),生殖系超声(女),妇科彩超(子宫|附件)-无图文,妇科超声(子宫附件)K,阴式彩超+双肾(有图文),泌尿生殖系B超(女),全腹彩超(团检女),经阴道盆腔彩超(环/孕)(含图文),卵泡与内膜彩超,女性B超(子宫|附件)需憋尿,活动超声女(膀胱子宫附件输尿管),憋尿彩超(子宫附件)K,2019全腹彩超(女性),妇科(子宫|附件)彩超,阴式彩超(女宾310),泌尿生殖彩超+图文报告(女),子宫|卵巢|膀胱彩超(女),经阴道B超检查,慈铭-女性盆腔彩超,彩超检查(子宫附件),泌尿生殖系彩超女(图文),彩超(子宫附件|经腹),泌尿生殖系彩超(子宫附件|膀胱),下腹部彩超(膀胱输尿管|子宫附件),彩超:子宫附件/阴超,子宫附件|膀胱(彩超)需憋尿,女性生殖系统彩超-需憋尿,阴式彩超(本地),女性彩超(子宫附膀胱输尿管)(不含图文),子宫彩超,子宫附件(阴式)彩超,双肾输尿管膀胱彩超(需憋尿),子宫|附件彩超(阴式)(DE),子宫|附件彩超(经腹)(DE),(AM)子宫附件彩超,泌尿生殖系统彩超(女)(憋尿),彩超(阴式子宫附件)(AY),子宫及附件膀胱彩超,泌尿系女彩超,彩超检查-子宫及附件,子宫及附件彩超(本地),彩超(子宫附件|经腹)(AY),阴式(彩超),子宫附件超声(腹式)(有图文),子宫附件输尿管膀胱超声W,泌尿彩超789替换女,(AM)阴式彩超,彩色多普勒妇科超声检查,医保-妇科彩超,(二楼)阴式彩超(未婚女禁),子宫附件彩超查环查孕,阴式彩超(子宫|附件)有图文,泌尿生殖系超声(憋尿),女性下腹部彩超(子宫及附件)(不含出片),泌尿生殖系彩超(贵宾),(AM)女性泌尿生殖彩超,子宫附件彩超(外检专用),盆腔彩超(铁路),2019彩超:卵泡监测,双肾.输尿管.膀胱.子宫附件彩超,全腹彩超(女),女性盆腔彩超(环/孕)(含图文),子宫附件超声0,妇科彩超(女),泌尿生殖系(含子宫附件)彩超-无图文,下腹部彩超(肾|膀胱输尿管|子宫附件),泰康人寿妇科B超,女性泌尿生殖彩超-无图文,彩超:阴道(女已婚),妇科彩超(子宫附件),子宫及附件彩超(赠送),泌尿生殖系彩超(赠送),盆腔彩超(外检专用),子宫附件输尿管膀胱超声N,子宫附件|输尿管|膀胱(经腹),经阴道B超检查(,阴超彩超,膀胱|子宫附件|输尿管超声,女性全腹彩超,子宫附件彩超(女)+图文,彩超(子宫附件|经腹)(会员),泌尿生殖系彩超(女)诊断是否怀孕,生殖系统彩超(女),女性生殖系统彩超-需憋尿3楼,阴式彩超3楼,彩超阴道(赠送),彩超盆腔(子宫附件B超)(赠送),彩超(子宫附件<经腹>),VIP超声检查(子宫|附件)(经腹),泌尿生殖系彩超1(女),超声(膀胱子宫附件输尿管)不出图,超声(子宫及附件)不出图,彩超(经腹子宫侧件)(女)(BN),经腹彩超子宫附件(憋尿),盆腔彩超-女,妇科彩超(阴式彩超),超声检查-子宫双附件,女性下腹部超声,泌尿生殖系彩超11(女),彩超肝胆胰脾双肾子宫附件,肝胆胰脾肾子宫及附件超声,彩超(经腹子宫附件)(女)2,彩超(肝胆脾双肾子宫附件)-无图文,子宫附件彩超(赠送),超声检查(子宫|附件)(经腹),女彩超(全腹+阴式子宫附件)+图文报告,腹部B超(肝胆肾子宫附件),女彩超(全腹+子宫及附件经腹)+图文报告,(626-628)彩超(子宫附件<经腹>),泌尿生殖系B超,彩超(肝胆胰脾双肾子宫附件),彩超(子宫及?侧附件经腹)(女),腹部泌尿生殖彩超(女),彩超(子宫及双侧附件?腹)(女),彩超(子宫及双侧件经腹)(女),子宫附件超声(未婚|腹部),腹部彩超(肝胆双肾+子宫附件),子宫附件超声(需空腹憋尿),彩超(女腹部全套),彩超(上腹+泌尿生殖系-女),子宫及附件(经腹)",附件（左）,描述型,,,
脾脏叩诊,"内科检查,内科",脾脏叩诊,描述型,,,
皮肤,"外科检查,外科检查(男),外科,外科检查(常规),外科检查(女),外科检查(含肛检),女外科检查,男外科检查,外科检查(女2),外科检查(男2),外科检查(男1),外科检查(女1)",皮肤,描述型,,,
